id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,simplified_type,season,time_of_day,length_seconds
473293,Mystery,mystery,Identity unknown,41.949,-82.5193,"call, song",2019-05-04,05:20,0:06,no score,The habitat was a trail through a wet area in Delaurier Trail at Point Pelee. I go back and forth between thinking it is some sort of rail or a scolding perching bird. I am intrigued by how the tempo increases towards the end.,None,None,None,Mystery_mystery_Pelee_near__Leamington_Essex_County_Ontario_473293.mp3,Song,Spring,Morning,6
450841,Mystery,mystery,Identity unknown,41.2325,-81.5518,song,2014-06-23,09:00,0:55,no score,Recording of assumed Northern Parula x Cerulean Warbler. Hybridization supported by genetic analysis of recorded individual and a second male in 2015. Description will be updated when manuscript is published.,None,None,None,Mystery_mystery_Boston_Township_near__Peninsula_Summit_County_Ohio_450841.mp3,Song,Summer,Morning,55
450840,Mystery,mystery,Identity unknown,41.2325,-81.5518,song,2014-06-22,10:00,1:18,no score,Recording of assumed Northern Parula x Cerulean Warbler. Hybridization supported by genetic analysis of recorded individual and a second male in 2015. Description will be updated when manuscript is published.,None,None,None,Mystery_mystery_Boston_Township_near__Peninsula_Summit_County_Ohio_450840.mp3,Song,Summer,Morning,78
450839,Mystery,mystery,Identity unknown,41.2325,-81.5516,song,2014-06-22,09:30,0:33,no score,Recording of assumed Northern Parula x Cerulean Warbler. Hybridization supported by genetic analysis of recorded individual and a second male in 2015. Description will be updated when manuscript is published.,None,None,None,Mystery_mystery_Boston_Township_near__Peninsula_Summit_County_Ohio_450839.mp3,Song,Summer,Morning,33
450838,Mystery,mystery,Identity unknown,41.2325,-81.5518,song,2014-06-18,10:00,1:13,no score,Recording of assumed Northern Parula x Cerulean Warbler. Hybridization supported by genetic analysis of recorded individual and a second male in 2015. Description will be updated when manuscript is published.,None,None,None,Mystery_mystery_Boston_Township_near__Peninsula_Summit_County_Ohio_450838.mp3,Song,Summer,Morning,73
382737,Mystery,mystery,Identity unknown,41.1306,-81.4356,call,2017-07-03,21:11,0:49,no score,"Please help me identify this call. It sounds like a bizarre version of a Grey Catbird mew, but I don't know. I did not see the bird, but it was near or on the ground in some dense vegetation.",None,None,None,Mystery_mystery_Tallmadge_Meadows_MP_Summit_County_Ohio_382737.mp3,Call,Summer,Night,49
369998,Mystery,mystery,Identity unknown,39.0704,-81.5625,song,2017-05-12,12:30,1:04,no score,"I recorded the unknown bird with the Rode Red app recommended by Cornell
I am a novice
The mystery bird is in the “background”.  Sorry about our talking.
Rainy day.  Upper elevation meadow with pond and large boggy area.  Bird in trees at edge of mature forest and the meadow area.
thank you",None,None,Dryocopus pileatus,Mystery_mystery_Rockbridge_County_Virginia_369998.mp3,Song,Spring,Afternoon,64
367182,Mystery,mystery,Identity unknown,41.1879,-81.5796,song,2017-05-01,08:00,0:33,no score,"Repeated high-pitched song similar to Black-and-white Warbler or Bay-breasted Warbler, but not sure.",None,None,None,Mystery_mystery_Ira_Rd_Beaver_Marsh_Summit_County_Ohio_367182.mp3,Song,Spring,Morning,33
365682,Mystery,mystery,Identity unknown,41.0167,-81.5195,"call, song",2017-04-22,11:00,0:03,no score,"Heard about every 10 seconds or so, in woods around a river. Lots of Yellow-rumped Warblers and Ruby-crowned Kinglets in the area.",None,None,Agelaius phoeniceus,Mystery_mystery_Ohio_near__Akron_Summit_County_Ohio_365682.mp3,Song,Spring,Morning,3
365155,Mystery,mystery,Identity unknown,41.3114,-81.5868,song,2017-04-18,10:00,1:28,no score,"Unknown trilling song near marsh and forest area, either Pine Warbler, Swamp Sparrow, Chipping Sparrow, or similar.",None,None,"Agelaius phoeniceus, Polioptila caerulea, Tachycineta bicolor, Colaptes auratus, Cardinalis cardinalis",Mystery_mystery_Ohio_near__Brecksville_Cuyahoga_County_Ohio_365155.mp3,Song,Spring,Morning,88
358499,Mystery,mystery,Identity unknown,41.2324,-81.5514,song,2014-06-22,10:00,5:06,no score,"Recording of assumed Cerulean Warbler X Northern Parula.  Hybridization supported by genetic analysis of recorded individual and a second male in 2015.

",None,None,None,Mystery_mystery_Ohio_near__Peninsula_Summit_County_Ohio_358499.mp3,Song,Summer,Morning,306
318228,Mystery,mystery,Identity unknown,41.1421,-81.0526,call,2016-05-22,06:30,0:25,no score,"Recorded on my deck unattended; no filtering; there is also a House Wren but that is not the mystery bird. I'm guessing that is what the ""background species"" field is for (not sure). 
Unknown call happens about 8 times in this recording.
Area is rural. Nearby are wooded area, open field, wetlands.",None,None,None,Mystery_mystery_Paris_Township_near__Ravenna_Portage_County_Ohio_318228.mp3,Call,Spring,Morning,25
726690,Mystery,mystery,Identity unknown,41.4517,-81.9473,None,2022-05-19,21:00,0:18,B,Warm evening. Recording not modified in anyway.,uncertain,uncertain,None,Mystery_mystery_Westlake_Cuyahoga_County_Ohio_726690.mp3,Unknown,Spring,Night,18
652286,Mystery,mystery,Identity unknown,41.3144,-81.5996,None,2021-05-26,08:30,0:29,B,"Recording is cropped and amplified.  I'm told the range from 8 kHz to 14 kHz is suppressed--maybe something about my phone or the recording app I used.

Oak-beech-maple forest.  I'm interested in the clear two-note calls that occur at short intervals, but I'd also like to know any other species.  In particular, is there a Hooded Warbler on here?",uncertain,uncertain,None,Mystery_mystery_Brecksville_Cuyahoga_County_Ohio_652286.mp3,Unknown,Spring,Morning,29
592352,Mystery,mystery,Identity unknown,40.8599,-81.4973,uncertain,2020-10-01,17:30,0:10,B,"Very clear, vivid sound",None,None,None,Mystery_mystery_Jackson_Township_near__Massillon_Stark_County_Ohio_592352.mp3,Unknown,Fall,Evening,10
579098,Mystery,mystery,Identity unknown,38.4784,-82.6379,uncertain,2020-07-24,07:00,0:35,C,i need help identifying this bird.,None,None,None,Mystery_mystery_Ashland_Boyd_County_Kentucky_579098.mp3,Unknown,Summer,Morning,35
579095,Mystery,mystery,Identity unknown,38.4542,-82.614,uncertain,2020-07-24,07:00,0:30,C,i need help identifying this bird,None,None,None,Mystery_mystery_Ashland_Boyd_County_Kentucky_579095.mp3,Unknown,Summer,Morning,30
399029,Mystery,mystery,Identity unknown,39.3494,-84.5139,call,2014-07-14,10:00,0:47,C,"I never got a look at this bird, loud call and quick.",None,None,None,Mystery_mystery_Hamilton_Butler_County_Ohio_399029.mp3,Call,Summer,Morning,47
397562,Mystery,mystery,Identity unknown,39.5036,-84.055,call,2015-03-28,10:00,0:38,C,Heard only along a trail that borders the lake at Caesar Creek.,None,None,None,Mystery_mystery_Wayne_near__Waynesville_Warren_County_Ohio_397562.mp3,Call,Spring,Morning,38
366898,Mystery,mystery,Identity unknown,39.2101,-84.3058,call,2017-04-29,12:00,0:41,C,There were two birds together in a Mulberry tree.,None,None,None,Mystery_mystery_Miami_near__Cincinnati_Clermont_County_Ohio_366898.mp3,Call,Spring,Afternoon,41
334412,Mystery,mystery,Identity unknown,39.1229,-84.3989,call,2016-09-12,08:00,0:44,C,Is this a C Wren? The bird did not respond to the playback like the C wren does. No alarm ,None,None,None,Mystery_mystery_Cincinnati_Hamilton_County_Ohio_334412.mp3,Call,Fall,Morning,44
