id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,local_file
726750,Branta,canadensis,Canada Goose,39.2095,-84.7821,flight call,2022-05-11,11:22,0:14,A,Flock of 5 landing on lake.,uncertain,adult,"Agelaius phoeniceus, Melospiza melodia, Cardinalis cardinalis",Branta_canadensis_Whitewater_Township_near__Harrison_Hamilton_County_Ohio_726750.mp3,Original Recordings\Branta_canadensis_Whitewater_Township_near__Harrison_Hamilton_County_Ohio_726750.mp3
418000,Branta,canadensis,Canada Goose,40.5652,-83.6255,flight call,2018-05-06,13:10,0:31,A,Natural vocalizations as the birds flew overhead near the boardwalk.,,,"Myiarchus crinitus, Quiscalus quiscula",Branta_canadensis_Lawrence_Woods_SNP_418000.mp3,Original Recordings\Branta_canadensis_Lawrence_Woods_SNP_418000.mp3
691528,Branta,canadensis,Canada Goose,39.283,-84.7459,flight call,2021-12-14,07:48,0:19,B,"Part of large flock (total count 124 birds) taking off from the marsh and flying over the trees. Some veered off away from recordist, but others came quite close.",,,,Branta_canadensis_Miami_Whitewater_Forest_Park_wetlands_Crosby_Township_near__Harrison_Hamilton_County_Ohio_691528.mp3,Original Recordings\Branta_canadensis_Miami_Whitewater_Forest_Park_wetlands_Crosby_Township_near__Harrison_Hamilton_County_Ohio_691528.mp3
713788,Cygnus,buccinator,Trumpeter Swan,40.7095,-83.3032,call,2021-12-03,09:00,2:12,B,About 100m away in marshy pond. Numerous individuals.,,,,Cygnus_buccinator_Killdeer_Plains_Wildlife_Management_Area_Wyandot_County_Ohio_713788.mp3,Original Recordings\Cygnus_buccinator_Killdeer_Plains_Wildlife_Management_Area_Wyandot_County_Ohio_713788.mp3
815809,Aix,sponsa,Wood Duck,41.6275,-83.1897,call,2023-05-16,08:29,0:04,C,calls from two birds in flight;,uncertain,adult,,Aix_sponsa_Magee_Marsh_-_boardwalk_Lucas_County_Ohio_815809.mp3,Original Recordings\Aix_sponsa_Magee_Marsh_-_boardwalk_Lucas_County_Ohio_815809.mp3
855312,Anas,acuta,Northern Pintail,39.176,-84.528,call,2023-12-13,16:45,0:17,B,Bird feeding and calling among Mallards (Anas platyrhynchos) in lake. No other pintails found in immediate vicinity. Giving head bob display during call  - link to video on Macaulay Library: eBird).https://macaulaylibrary.org/asset/612202839,male,adult,Cyanocitta cristata,Anas_acuta_Cincinnati_Hamilton_County_Ohio_855312.mp3,Original Recordings\Anas_acuta_Cincinnati_Hamilton_County_Ohio_855312.mp3
805814,Colinus,virginianus,Northern Bobwhite,39.1833,-83.7177,"song, crickets",2023-05-27,17:34,0:59,A,"Bird singing from cover in a short grass field with scattered mixed trees and shrubs (coniferous and deciduous) near a lake. 
Bird seen briefly after calling when it flew across the road into dense ground cover under dense shrubbery.",male,adult,"Agelaius phoeniceus, Turdus migratorius, Quiscalus quiscula, Zenaida macroura, Charadrius vociferus, Sturnella magna",Colinus_virginianus_New_Market_Township_near__Hoagland_Highland_County_Ohio_805814.mp3,Original Recordings\Colinus_virginianus_New_Market_Township_near__Hoagland_Highland_County_Ohio_805814.mp3
17130,Colinus,virginianus,Northern Bobwhite,41.93338,-83.54994,song,2007-07-18,?,0:20,B,,,,"Spinus tristis, Passerina cyanea, Turdus migratorius",Colinus_virginianus_Michigan_Monroe_County_17130.mp3,Original Recordings\Colinus_virginianus_Michigan_Monroe_County_17130.mp3
17061,Colinus,virginianus,Northern Bobwhite,41.93338,-83.54994,song,2007-06-05,?,0:03,C,,,,,Colinus_virginianus_Michigan_Monroe_County_17061.mp3,Original Recordings\Colinus_virginianus_Michigan_Monroe_County_17061.mp3
17060,Colinus,virginianus,Northern Bobwhite,41.93338,-83.54994,song,2007-06-05,?,0:02,C,,,,,Colinus_virginianus_Michigan_Monroe_County_17060.mp3,Original Recordings\Colinus_virginianus_Michigan_Monroe_County_17060.mp3
